,index,record_name,record_name_2,ref_code,ref_name,ref_unit
501,502,EIP 8x220TS Дюбель тарельчатый собранный (200 шт.),тарельчатый-пластиковый фасадный дубель. Диаметр 10 мм. длина 220 мм,22.23.19.000.01.7.15.07-0210-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 200 мм",шт
502,503,Дюбель гвоздь 6*40 гриб упаковка 200 шт РОССИЯ,Дюбель К 6/35,22.23.19.000.01.7.15.07-0210-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 200 мм",шт
503,504,Дюбель-гвоздь SM-L 5х30 (упак 200шт),дюбель-шуруп 4х30мм,22.23.19.000.01.7.15.07-0210-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 200 мм",шт
504,505,Дюбель-гвоздь SM-L 5х40 (упак 200шт),дюбель-шуруп 4х30мм,22.23.19.000.01.7.15.07-0210-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 200 мм",шт
505,506,Дюбель-гвоздь SM-L 6х40 (упак 200шт),Дюбель К 6/35,22.23.19.000.01.7.15.07-0210-000,"Дюбель-гвоздь кровельный полимерный тарельчатого типа с металлическим гвоздем и заглушкой, диаметр фланца 50 мм, диаметр 10 мм, длина 200 мм",шт
506,507,Держатель кровельный коньковый H-100мм TZ,"Угловой коньковый зажим, 100 мм ND2202 DKC",25.11.23.119.12.1.01.05-0027-000,"Заглушка коньковая из оцинкованной стали для металлочерепичной кровли, ширина 160 мм, высота 100 мм",шт
507,508,Держатель кровельный коньковый Н-100мм TZ,Зажим коньковый угловой 100 мм ND2202 DKC,25.11.23.119.12.1.01.05-0027-000,"Заглушка коньковая из оцинкованной стали для металлочерепичной кровли, ширина 160 мм, высота 100 мм",шт
508,509,ALFA SML Торцевая крышка (заглушка) Ø100,Чугунный заглушка Ø100 SML,25.11.23.119.08.1.02.14-0150-000,Заглушка торцевая стальная для водоотводного лотка с гидравлическим сечением DN100,шт
509,510,Заглушка (пробка) торцевая SML DN 100,Чугунный заглушка Ø100 SML,25.11.23.119.08.1.02.14-0150-000,Заглушка торцевая стальная для водоотводного лотка с гидравлическим сечением DN100,шт
510,511,Заглушка торцевая DN 100 SML,Чугунный заглушка Ø100 SML,25.11.23.119.08.1.02.14-0150-000,Заглушка торцевая стальная для водоотводного лотка с гидравлическим сечением DN100,шт
511,512,Заглушка торцевая SML 100 чугун,Чугунный заглушка Ø100 SML,25.11.23.119.08.1.02.14-0150-000,Заглушка торцевая стальная для водоотводного лотка с гидравлическим сечением DN100,шт
512,513,Пробка - заглушка 22,Пробка-заглушка 22/25,25.11.23.119.08.1.02.14-0150-000,Заглушка торцевая стальная для водоотводного лотка с гидравлическим сечением DN100,шт
513,514,Заглушка 57x3 ст.20 ГОСТ 17379,"Заглушка эллиптическая стальная бесшовная приварная, Д=50 мм",24.20.40.000.23.8.04.01-0017-000,"Заглушка эллиптическая, сталь марки 20, номинальное давление 10 МПа, номинальный диаметр 50 мм, наружный диаметр 57 мм, толщина стенки 3,0 мм",шт
514,515,30ч39р Задвижка аналог МЗВ Ду100 Ру16 с закрытой гайкой,Задвижка чугунная Ду100,28.14.13.120.18.1.02.02-0005-000,"Задвижка клиновая с невыдвижным шпинделем 30ч39р, присоединение к трубопроводу фланцевое, номинальное давление 1,6 МПа, номинальный диаметр 80 мм",шт
515,516,30ч39р Задвижка аналог МЗВ Ду50 Ру16,"Задвижка клиновая фланцевая чугунная PN16, DN50  МЗВ-50 Завод 'Водоприбор' mzv50",28.14.13.120.18.1.02.02-0005-000,"Задвижка клиновая с невыдвижным шпинделем 30ч39р, присоединение к трубопроводу фланцевое, номинальное давление 1,6 МПа, номинальный диаметр 80 мм",шт
516,517,Задвижка чугун 30ч6бр Ду 100 Ру 16 Тмакс=225С фл Л М3 . Срок поставки 10-12 раб. дней,Задвижка чугун 30ч6бр Ду 100 Ру 16 Тмакс=225С фл Л М3 . Срок поставки 10-12 раб. дней,28.14.13.120.18.1.02.01-0201-000,"Задвижка параллельная с выдвижным шпинделем 30ч6бр, присоединение к трубопроводу фланцевое, номинальное давление 1,0 МПа, номинальный диаметр 50 мм",шт
517,518,Задвижка чугун 30ч6бр Ду 100 Ру 16 Тмакс=225С фл Л М3 . Срок поставки 10-12 рабочих дней,Задвижка чугунная Ду100,28.14.13.120.18.1.02.01-0201-000,"Задвижка параллельная с выдвижным шпинделем 30ч6бр, присоединение к трубопроводу фланцевое, номинальное давление 1,0 МПа, номинальный диаметр 50 мм",шт
518,519,Задвижка чугун 30ч6бр Ду 100 Ру 16 Тмакс=225С фл ЛМЗ . Срок поставки 10-12 раб. дней,Задвижка чугунная Ду100,28.14.13.120.18.1.02.01-0201-000,"Задвижка параллельная с выдвижным шпинделем 30ч6бр, присоединение к трубопроводу фланцевое, номинальное давление 1,0 МПа, номинальный диаметр 50 мм",шт
519,520,"Задвижка чугун 30ч6бр Ду 100 Ру16 до +225 фл ЛМЗ, DN 100","Задвижка чугун 30ч6бр Ду 100 Ру16 до +225 фл ЛМЗ, DN 100",28.14.13.120.18.1.02.01-0201-000,"Задвижка параллельная с выдвижным шпинделем 30ч6бр, присоединение к трубопроводу фланцевое, номинальное давление 1,0 МПа, номинальный диаметр 50 мм",шт
520,521,ЗАДВИЖКА ЧУГУН 30Ч6БР ДУ 100 РУ16 ТМАКС=225C ФЛ ЛМЗ,Задвижка чугунная Ду100 30ч6бр,28.14.13.120.18.1.02.01-0201-000,"Задвижка параллельная с выдвижным шпинделем 30ч6бр, присоединение к трубопроводу фланцевое, номинальное давление 1,0 МПа, номинальный диаметр 50 мм",шт
521,522,Задвижка чугун 30ч6бр Ду 100 Ру16 Тмакс=225C фл ЛМЗ,Задвижка чугунная Ду100 30ч6бр,28.14.13.120.18.1.02.01-0201-000,"Задвижка параллельная с выдвижным шпинделем 30ч6бр, присоединение к трубопроводу фланцевое, номинальное давление 1,0 МПа, номинальный диаметр 50 мм",шт
522,523,Задвижка чугун 30ч6бр Ду 100 Ру16 Тмакс=225С фл ЛМЗ . Срок поставки 10-12 рабочих дней,Задвижка чугунная Ду100,28.14.13.120.18.1.02.01-0201-000,"Задвижка параллельная с выдвижным шпинделем 30ч6бр, присоединение к трубопроводу фланцевое, номинальное давление 1,0 МПа, номинальный диаметр 50 мм",шт
523,524,Задвижка чугун 30ч6бр Ду 100 Ру16 Тмакс=225С фл ЛМЗ. Срок поставки 10-12 раб. дней,Задвижка чугунная Ду100,28.14.13.120.18.1.02.01-0201-000,"Задвижка параллельная с выдвижным шпинделем 30ч6бр, присоединение к трубопроводу фланцевое, номинальное давление 1,0 МПа, номинальный диаметр 50 мм",шт
524,525,Задвижка чугун 30ч6бр Ду 100 Ру16 Тмакс=225С фл ЛМЗ. Срок поставки: 10-12 раб. дней,Задвижка чугунная Ду100,28.14.13.120.18.1.02.01-0201-000,"Задвижка параллельная с выдвижным шпинделем 30ч6бр, присоединение к трубопроводу фланцевое, номинальное давление 1,0 МПа, номинальный диаметр 50 мм",шт
525,526,Задвижка чугунная 30ч6бр Ду. 100 Ру. 16 ЛМЗ,Задвижка чугунная Ду100,28.14.13.120.18.1.02.01-0201-000,"Задвижка параллельная с выдвижным шпинделем 30ч6бр, присоединение к трубопроводу фланцевое, номинальное давление 1,0 МПа, номинальный диаметр 50 мм",шт
526,527,Задвижка чугунная Ду100 30ч6бр,Задвижка чугунная Ду100 30ч6бр,28.14.13.120.18.1.02.01-0201-000,"Задвижка параллельная с выдвижным шпинделем 30ч6бр, присоединение к трубопроводу фланцевое, номинальное давление 1,0 МПа, номинальный диаметр 50 мм",шт
527,528,Задвижка чуг аналог МЗВ Ду100 Ру 16 120С 30ч39р Китай,Задвижка чугунная Ду100,25.11.23.119.08.1.02.12-0031-000,"Задвижка чугунная для печи, размеры 390х190х27 мм",шт
528,529,Задвижка чугунная 30(31 )ч6бр Ду 100 Ру16 ЛМЗ,Задвижка чугунная 30(31 )ч6бр Ду 100 Ру16 ЛМЗ,25.11.23.119.08.1.02.12-0031-000,"Задвижка чугунная для печи, размеры 390х190х27 мм",шт
529,530,Задвижка чугунная 30ч39р Ду50 Ру16,"Задвижка клиновая фланцевая чугунная PN16, DN50  МЗВ-50 Завод 'Водоприбор' mzv50",25.11.23.119.08.1.02.12-0031-000,"Задвижка чугунная для печи, размеры 390х190х27 мм",шт
530,531,Задвижка чугунная Ду100 30ч66р,Задвижка чугунная Ду100 30ч66р,25.11.23.119.08.1.02.12-0031-000,"Задвижка чугунная для печи, размеры 390х190х27 мм",шт
531,532,Соединитель (зажим) для троса двойной (Duplex) 3 мм,Соединитель (зажим) для троса двойной (Duplex) 3 мм,27.33.13.120.25.2.01.06-0001-000,Зажим для одиночного троса КС-037,шт
532,533,OBO Bettermann Зажим крепежный для проволоки. Тип: 324 S-FT,Зажим крепежный для проволоки 324 S-FT,22.21.30.130.20.1.01.01-0030-000,"Зажим натяжной пластиковый для подвески круглых самонесущих кабелей, длина крепежной петли 250 мм, диаметр кабеля 4-7 мм",шт
533,534,Зажим ZANDZ для круглого проводника и полосы (D6-10 мм; до 50x5; оцинкованная сталь),Соединитель пруток-полоса NG3101 DKC,22.21.30.130.20.1.01.01-0030-000,"Зажим натяжной пластиковый для подвески круглых самонесущих кабелей, длина крепежной петли 250 мм, диаметр кабеля 4-7 мм",шт
534,535,Зажим крепежный для проволоки 324 S-FT Bettermann,Зажим крепежный для проволоки 324 S-FT,22.21.30.130.20.1.01.01-0030-000,"Зажим натяжной пластиковый для подвески круглых самонесущих кабелей, длина крепежной петли 250 мм, диаметр кабеля 4-7 мм",шт
535,536,Зажим крепежный для проволоки. Тип: 324 S-FT,Зажим крепежный для проволоки 324 S-FT,22.21.30.130.20.1.01.01-0030-000,"Зажим натяжной пластиковый для подвески круглых самонесущих кабелей, длина крепежной петли 250 мм, диаметр кабеля 4-7 мм",шт
536,537,"Клемма соед.для многожил.проводов 3х0,08-4мм2 Серый WAGO (Уп. 50шт.) в наличии",Клемма соединительная Wago 222-413 3-х проводная 0.08-4 мм,27.33.13.120.20.1.01.11-0003-000,Зажим плашечный соединительный ПА 1-1,шт
537,538,"Клемма соед.для многожил.проводов 5х0,08-4мм2 Серый WAGO (Уп. 40шт.) в наличии",Клемма соединительная Wago 222-415 5-ти проводная 0.08-4 мм,27.33.13.120.20.1.01.11-0003-000,Зажим плашечный соединительный ПА 1-1,шт
538,539,"Клемма соединительная, 5 контактов WAGO (222-415) - Клемма соединительная, 5 контактов, сечение провода 0.08-2.5 кв.мм",Клемма соединительная Wago 222-415 5-ти проводная 0.08-4 мм,27.33.13.120.25.2.01.06-0056-000,"Зажим соединительный КС-055-28 для проводов сечением 70-95 мм2, 95-120 мм2",шт
539,540,"OBO Bettermann Соединительная скоба-перемычка, Тип: 288 DIN",Соединительная скоба-перемычка 288 DIN,27.33.13.120.20.5.04.07-0001-000,Зажим соединительный овальный СОАС-35-3,шт
540,541,Зажим диагональный для заземляющих проводников,Соединитель для стержней заземления 2760 20 FT RU универсальный 2760 20 FT RU,27.33.13.120.20.1.01.01-0007-000,"Зажимы анкерные для самонесущих изолированных проводов с неизолированным несущим нулевым проводником, диапазон сечений 16-95 мм2",100 шт
541,542,Клеммный зажим для круглых проводников D 8-10,Зажим крепежный для проволоки 324 S-FT,27.33.13.120.20.1.01.01-0007-000,"Зажимы анкерные для самонесущих изолированных проводов с неизолированным несущим нулевым проводником, диапазон сечений 16-95 мм2",100 шт
542,543,Клеммный зажим для круглых проводников D8-10,Зажим крепежный для проволоки 324 S-FT,27.33.13.120.20.1.01.01-0007-000,"Зажимы анкерные для самонесущих изолированных проводов с неизолированным несущим нулевым проводником, диапазон сечений 16-95 мм2",100 шт
543,544,ОG Зажим диагональный для заземляющих проводников,Клемма крепежная для проволоки 5001 N-FT,27.33.13.120.20.1.01.01-0007-000,"Зажимы анкерные для самонесущих изолированных проводов с неизолированным несущим нулевым проводником, диапазон сечений 16-95 мм2",100 шт
544,545,Зажим ответвительный прокалывающий Р4Х-150 (35-150; 35-150) (Р 70; SLIW 17.1/17.2; P4X-150D; CT1S 95-25; ОР 95; ЗОИ 25-95; PC 35-150) ИНСТАЛЛ 111308,Зажим прокалывающий для СИП сечением 150 кв.мм.,27.33.13.120.20.1.01.02-0001-000,Зажимы аппаратные прессуемые 2А2А-300-1Т,100 шт
545,546,Зажим ответвительный прокалывающий Р4Х-150 (35-150; 35-150) (Р 70; SLIW 17.1/17.2; Р4Х- 150D; CT1S 95-25; ОР 95; ЗОИ 25-95; PC 35-150) ИНСТАЛЛ 111308,Зажим прокалывающий для СИП сечением 150 кв.мм.,27.33.13.120.20.1.01.02-0001-000,Зажимы аппаратные прессуемые 2А2А-300-1Т,100 шт
546,547,Зажим прокалывающий ответвительный ЗПОн 16-150/4-50 (КВТ),Зажим прокалывающий для СИП сечением 150 кв.мм.,27.33.13.120.20.1.01.02-0001-000,Зажимы аппаратные прессуемые 2А2А-300-1Т,100 шт
547,548,Зажим ответвительный прокал. ZP 95M 25-150/25-95 (аналог SLIW57),Зажим прокалывающий для СИП сечением 150 кв.мм.,27.33.13.120.20.1.01.08-0019-000,Зажимы ответвительные с проводами ответвлений сечением 16-95 мм2,100 шт
548,549,"Провод ПВ-3 2,5 (ПУГВ 2,5) медный белый БРЭКС БРЭКС (бухты 500 м (кратно 500))","Провод с медной жилой сечением 1х2,5",27.33.13.120.20.1.01.08-0002-000,"Зажимы плашечные для соединения неизолированных алюминиевых проводников сечением 10-50 мм2 и медных проводников сечением 1,5-10 мм2, обработанные смазкой антиоксидантом",100 шт
549,550,Дюбель-зажим Д3-2 (100шт.),Дюбель-хомут (19х25мм) для круглого кабеля черным (уп.100шт) EKF,25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
550,551,"Зажим заземления полоса/полоса крестообразный без пром. пластины, оцинк.",Соединитель полоса-полоса NG3105 DKC,25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
551,552,"Зажим заземления полоса/полоса крестообразный с пром, пластиной, оцинк.","Соединитель полоса - полоса, 80х80 мм NG3105 DKC",25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
552,553,"Зажим заземления полоса/полоса крестообразный с пром, пластиной, оцинк. Езетек","Крестовой соединитель для плоских проводников до 40 мм, оцинкованный 256 A-DIN 40 FT",25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
553,554,"Зажим заземления полоса/полоса крестообразный с пром. пластиной, оцинк.","Крестовой соединитель для плоских проводников до 40 мм, оцинкованный 256 A-DIN 40 FT",25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
554,555,"Зажим заземления полоса/полоса крестообразный с пром. пластиной, оцинк. Езетек","Крестовой соединитель DIN для плоских проводников, с промежуточной пластиной 5314623 ""ОБО Беттерманн"", Липецк",25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
555,556,Зажим полоса 40 - полоса 40 (3 пластины 70x70мм) HZ EKF,"Крестовой соединитель для плоских проводников до 40 мм, оцинкованный 256 A-DIN 40 FT",25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
556,557,"Зажим полоса-полоса (3 пластины), оцинк., арт 70032","Крестовой соединитель DIN для плоских проводников, с промежуточной пластиной 5314623 ""ОБО Беттерманн"", Липецк",25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
557,558,Зажим прижимной малый,Зажим крепежный для проволоки 324 S-FT,25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
558,559,Зажим прута универсальный (пластина 45x45мм) HZ EKF,Зажим крепежный для проволоки 324 S-FT,25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
559,560,"Зажим прута универсальный малый (пластина 30x30мм), HZ EKF","Соединитель Vario для быстрого монтажа круглых проводников диамет- ром 8-10 мм, оцинкованный 249 8-10 ST",25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
560,561,Зажим универсальный оцинкованная сталь,Соединитель полосы и проволоки продольный 233 A VA,25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
561,562,"СС154 Зажим соединительный полоса-круг с разделительной пластиной, оцинк. сталь",Соединитель пруток-полоса NG3101 DKC,25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
562,563,СС155 Зажим соединительный полоса/полоса (2 пластины) оцинкованный,"Крестовой соединитель для плоских проводников до 40 мм, оцинкованный 256 A-DIN 40 FT",25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
563,564,СС156 Зажим соединительный полоса/полоса (3 пластины) оцинкованный,"Крестовой соединитель DIN для плоских проводников, с промежуточной пластиной 5314623 ""ОБО Беттерманн"", Липецк",25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
564,565,"СС158 Зажим соединительный крестовой прут-прут (3 пластины), оцинкованный",Соединитель пруток-полоса NG3102R DKC,25.11.23.119.12.1.03.10-0003-000,"Зажимы противоветровые из оцинкованной стали для рядовой черепицы, длина общая 83 мм, ширина пластины 15 мм, длина пластины 30 мм",100 шт
565,566,51520 OG Зажим прижимной малый,Зажим крепежный для проволоки 324 S-FT,25.11.23.119.12.1.03.10-0006-000,"Зажимы соединительные Г-образные из оцинкованной стали для снегозадерживающей решетки, длина 52 мм, сечение 20х20 мм",10 шт
566,567,"Зажим соединительный круглого проводника 8-10 мм прижимной, оцинк",Зажим крепежный для проволоки 324 S-FT,25.11.23.119.12.1.03.10-0006-000,"Зажимы соединительные Г-образные из оцинкованной стали для снегозадерживающей решетки, длина 52 мм, сечение 20х20 мм",10 шт
567,568,"Зажим соединительный круглого проводника 8-10 мм прижимной, оцинк.",Зажим крепежный для проволоки 324 S-FT,25.11.23.119.12.1.03.10-0006-000,"Зажимы соединительные Г-образные из оцинкованной стали для снегозадерживающей решетки, длина 52 мм, сечение 20х20 мм",10 шт
568,569,"Зажим соединительный круглого проводника 8-10 мм, оцинк","Соединитель Vario для быстрого монтажа круглых проводников диамет- ром 8-10 мм, оцинкованный 249 8-10 ST",25.11.23.119.12.1.03.10-0006-000,"Зажимы соединительные Г-образные из оцинкованной стали для снегозадерживающей решетки, длина 52 мм, сечение 20х20 мм",10 шт
569,570,"Зажим соединительный круглого проводника 8-10 мм, оцинк Езетек","Соединитель Vario для быстрого монтажа круглых проводников диамет- ром 8-10 мм, оцинкованный 249 8-10 ST",25.11.23.119.12.1.03.10-0006-000,"Зажимы соединительные Г-образные из оцинкованной стали для снегозадерживающей решетки, длина 52 мм, сечение 20х20 мм",10 шт
570,571,"Зажим соединительный круглого проводника 8-10 мм, оцинк.","Соединитель Vario для быстрого монтажа круглых проводников диамет- ром 8-10 мм, оцинкованный 249 8-10 ST",25.11.23.119.12.1.03.10-0006-000,"Зажимы соединительные Г-образные из оцинкованной стали для снегозадерживающей решетки, длина 52 мм, сечение 20х20 мм",10 шт
571,572,"Зажим соединительный полоса/круг-полоса/круг, оцинкованная сталь",Соединитель пруток-полоса NG3102R DKC,25.11.23.119.12.1.03.10-0006-000,"Зажимы соединительные Г-образные из оцинкованной стали для снегозадерживающей решетки, длина 52 мм, сечение 20х20 мм",10 шт
572,573,"Зажим соединительный полоса/пруток — полоса параллельный, оцинк.",Соединитель полосы и проволоки продольный 233 A VA,25.11.23.119.12.1.03.10-0006-000,"Зажимы соединительные Г-образные из оцинкованной стали для снегозадерживающей решетки, длина 52 мм, сечение 20х20 мм",10 шт
573,574,"Зажим соединительный полоса/пруток — полоса/пруток параллельный, оцинк.",Соединитель полосы и проволоки продольный 233 A VA,25.11.23.119.12.1.03.10-0006-000,"Зажимы соединительные Г-образные из оцинкованной стали для снегозадерживающей решетки, длина 52 мм, сечение 20х20 мм",10 шт
574,575,"Зажим соединительный полоса/пруток — полоса/пруток параллельный, оцинк. Езетек",Соединитель полосы и проволоки продольный 233 A VA,25.11.23.119.12.1.03.10-0006-000,"Зажимы соединительные Г-образные из оцинкованной стали для снегозадерживающей решетки, длина 52 мм, сечение 20х20 мм",10 шт
575,576,ОG Зажим прижимной малый,Зажим крепежный для проволоки 324 S-FT,25.11.23.119.12.1.03.10-0006-000,"Зажимы соединительные Г-образные из оцинкованной стали для снегозадерживающей решетки, длина 52 мм, сечение 20х20 мм",10 шт
576,577,"СС149 Зажим соединительный полоса-прут параллельный (малый), оцинкованный",Соединитель полосы и проволоки продольный 233 A VA,25.11.23.119.12.1.03.10-0006-000,"Зажимы соединительные Г-образные из оцинкованной стали для снегозадерживающей решетки, длина 52 мм, сечение 20х20 мм",10 шт
577,578,Замок врезной ЗВ-4 (ст.бронза) с защелкой и ручками Металлист,Ручка дверная на розетке Фабрика замков 016 алюминий гальваническое покрытие,25.72.12.111.01.7.04.04-1008-000,"Замок врезной цилиндровый, тип ЗВ4, с защелкой, фалевыми ручками и с засовом из трех стержней, повышенной пожаростойкости",компл
578,579,"Затвор предохранительный КЕДР ЗП-1Г (пропан, ацетилен), на выход редуктора, М16х1,5LН левая резьба",Клапан огнепреградительный газовый КОГ-Р (в разрыв рукава),28.14.13.132.18.1.03.02-0011-000,"Затвор дисковый поворотный чугунный межфланцевый, с редуктором, давление 1,6 МПа, диаметр 200 мм",шт
579,580,Изолятор SM51 М10,Изолятор шинный серии SM SM-51 IEK,27.90.12.110.22.2.01.08-1142-000,"Изолятор тяговый полимерный, номинальное напряжение 10 кВ, шпилька М10, длина опорной части 160 мм, размеры 290х60х25 мм",шт
580,581,AVCLINK CAT5FTP экранированная витая пара,Кабель Cat5E FTP Tasker C706,27.32.13.159.21.1.04.01-0003-000,"Кабель витая пара UTP 2х2х0,52, категория 5e (внешний)",1000 м
581,582,AVCLINK CAT6FTP Экранированная витая пара категории 6Е,Кабель Cat6A FTP Tasker C718,27.32.13.159.21.1.04.01-0003-000,"Кабель витая пара UTP 2х2х0,52, категория 5e (внешний)",1000 м
582,583,"ITK Кабель связи витая пара U/UTP, кат.5E 4x2х24AWG solid, LSZH, 305м, серый",Кабель Cat5e (305m.),27.32.13.151.21.1.04.02-0001-000,"Кабель дальней связи симметричный высокочастотный МКСАБп 4х4х1,2",1000 м
583,584,"Кабели огнестойкие симметричные, для охранно-пожарной сигнализации. Групповой прокладки, экранированный, безгалогенный КПСЭКнг(А)-FRHF 1x2x1","Кабели огнестойкие симметричные, для охранно-пожарной сигнализации. Групповой прокладки, экранированный, безгалогенный КПСЭКнг(А)-FRHF  1x2x1 КПСЭКнг(А)-FRHF",27.32.13.151.21.1.04.02-0001-000,"Кабель дальней связи симметричный высокочастотный МКСАБп 4х4х1,2",1000 м
584,585,"Кабель огнестойкий симметричный, для охранно-пожарной сигнализации, экранированный КПСЭнг(А)-FRHF 1x2x0.5","Кабель огнестойкий симметричный, для охранно-пожарной сигнализации, экранированный 1x2x0.5 КПСЭнг(А)-FRHF",27.32.13.151.21.1.04.02-0001-000,"Кабель дальней связи симметричный высокочастотный МКСАБп 4х4х1,2",1000 м
585,586,Кабель контрольный FLEXICORE 110 (4G1),ÖLFLEX® CLASSIC 110 4 G 1.0  — кабель управления с оболочкой из ПВХ ÖLFLEX® CLASSIC 110   4 G 1.0,27.32.13.143.21.1.08.02-0001-000,"Кабель контрольный АКПсВБ 4х2,5",1000 м
586,587,С280 микрофонный кабель OFC 2х0.22мм2 профи,Кабель акустический монофонический Tasker T30,27.32.13.159.21.1.04.06-0011-000,"Кабель микрофонный КММ 2х0,12",1000 м
587,588,Саморегулирующийся нагревательный кабель SRL16-2CR,Кабель греющий саморегулирующийся PROconnect SRL16-2 неэкранир. 16Вт/1м,27.32.13.136.21.1.06.01-0001-000,"Кабель нагревательный двужильный экранированный, мощность 115 Вт, длина 7 м",компл
588,589,"Hyperline UUTP4-C5E-S24-IN-LSZH-GY-305 (305 м) Кабель витая пара, неэкранированная U/UTP, категория 5e, 4 пары (24 AWG), одножильный(solid), LSZH, нг(А)-HF, -20°C – +75°C, серый - гарантия: 15 лет компонентная, 25 лет системная",Кабель UTP Cat5,27.31.11.000.21.1.01.01-0011-000,"Кабель оптический ДПО-нг(A)-HF-48У (6х8)-2,7 кН",1000 м
589,590,"ИНКАБ Оптический кабель в грунт огнестойкий, TcOC-Hr(A)-FRHFLTx-08Y-7KH","Кабель оптический 4-х волоконный Сегмент-ОКЗнг(А)-FRHF-М8П-4А-7.0 МО, ООО «СегментЭНЕРГО»",27.31.11.000.21.1.01.01-0011-000,"Кабель оптический ДПО-нг(A)-HF-48У (6х8)-2,7 кН",1000 м
590,591,"Кабель NIKOLAN волоконно-оптический, 2 волокна, одномодовый 9/ 125мкм, стандарта OS2, внутренний/внешний, распределительный, с плотным буфером, полимерный материал нг(А)-LSLTх, черный - гарантия: 5 лет расширенная / 25 лет системная (отгрузка может осуществляется с использованием альтернативного барабана, который подбирается в зависимости от требуемой длины и является отдельной позицией в прайс-листе)",Кабель оптический 2-х волоконный NKL-F-002S9I-00C-BK NIKOMAX,27.31.11.000.21.1.01.01-0011-000,"Кабель оптический ДПО-нг(A)-HF-48У (6х8)-2,7 кН",1000 м
591,592,"Кабель NIKOLAN волоконно-оптический, 2 волокна, одномодовый 9/125мкм, стандарта OS2, внутренний/внешний, распределительный, с плотным буфером, полимерный материал нг(A)-LSLTx, черный - гарантия: 5 лет расширенная / 25 лет системная",Кабель оптический 2-х волоконный NKL-F-002S9I-00C-BK NIKOMAX,27.31.11.000.21.1.01.01-0011-000,"Кабель оптический ДПО-нг(A)-HF-48У (6х8)-2,7 кН",1000 м
